HOMBRE,CASADO,PROPIA,62,14127000,11591417,0,36,240000000,124,C
HOMBRE,CASADO,FAMILIAR,35,1165284,741385,0,120,54700000,5,A
HOMBRE,UNION LIBRE ,FAMILIAR,42,2577153,1192245,0,140,63000000,158,D
MUJER,SOLTERO,FAMILIAR,31,1977665,990394,0,140,56800000,218,E
HOMBRE,VIUDO,PROPIA,81,4080552,2252758,0,140,31500000,402,E
HOMBRE,CASADO,PROPIA,46,1894668,762004,0,120,46800000,767,E
MUJER,SOLTERO,FAMILIAR,31,1020348,505206,0,72,21000000,69,E
HOMBRE,SOLTERO,#¡VALOR!,31,810000,180000,1,36,4124995,26,A
HOMBRE,CASADO,PROPIA,39,2282049,909926,0,140,87000000,583,E
HOMBRE,SOLTERO,PROPIA,43,89000000,1000000,0,84,100000000,2,A
HOMBRE,SOLTERO,FAMILIAR,32,2138291,1096927,0,140,65000000,555,E
HOMBRE,SOLTERO,FAMILIAR,33,2121423,1202642,0,140,67600000,341,E
HOMBRE,SOLTERO,FAMILIAR,49,2336931,1454039,0,120,68100000,645,E
MUJER,SOLTERO,FAMILIAR,32,2104555,1091349,0,140,47500000,675,E
HOMBRE,SOLTERO,FAMILIAR,29,1977665,1039931,0,140,58600000,97,C
HOMBRE,SOLTERO,PROPIA,43,2477825,622400,0,141,79700000,36,A
HOMBRE,CASADO,PROPIA,32,2138291,1100139,0,140,82000000,128,D
HOMBRE,SEPARADO,PROPIA,60,11800000,184808162,0,60,316800000,1,A
HOMBRE,SOLTERO,PROPIA,55,910928,187590,0,36,6500000,5,A
MUJER,UNION LIBRE ,FAMILIAR,39,1126019,150827,1,68,5332688,31,E
HOMBRE,SOLTERO,PROPIA,40,0,0,0,60,136500000,336,D
MUJER,CASADO,PROPIA,56,7000957,3722275,0,36,20100000,42,B
MUJER,VIUDO,FAMILIAR,38,3410000,341090,0,72,52615000,122,D
HOMBRE,SOLTERO,FAMILIAR,50,1991878,1096023,0,120,29100000,463,E
HOMBRE,SOLTERO,#¡VALOR!,68,644350,337874,0,140,18100000,555,E
HOMBRE,SOLTERO,FAMILIAR,31,1977665,1003445,0,140,52900000,402,E
MUJER,SOLTERO,PROPIA,45,0,200000,0,72,94800000,564,E
MUJER,CASADO,FAMILIAR,36,2896800,500000,0,72,40000000,730,E
HOMBRE,CASADO,FAMILIAR,31,2600000,920000,0,84,47300000,5,A
HOMBRE,SOLTERO,FAMILIAR,38,1354904,827195,0,138,53700000,189,D
HOMBRE,CASADO,PROPIA,36,1644466,544120,0,141,44900000,36,A
HOMBRE,CASADO,FAMILIAR,34,2154152,1126375,0,140,57000000,645,E
HOMBRE,RELIGIOSO,PROPIA,45,0,0,0,48,85000000,31,A
HOMBRE,SOLTERO,FAMILIAR,39,3293819,1766786,0,140,88300000,5,A
HOMBRE,SOLTERO,FAMILIAR,53,0,193448190,0,60,166600000,26,D
HOMBRE,CASADO,FAMILIAR,48,3451876,2224485,1,161,86121782,767,E
HOMBRE,SOLTERO,PROPIA,41,1847688,768125,0,140,73000000,675,E
HOMBRE,SOLTERO,PROPIA,39,2152139,1254536,0,140,62400000,249,D
MUJER,SOLTERO,PROPIA,46,1743009,799737,0,120,57300000,36,A
MUJER,SOLTERO,FAMILIAR,38,1545594,600309,0,120,44100000,736,E
HOMBRE,SOLTERO,FAMILIAR,36,2569486,1142183,0,221,40000000,433,E
MUJER,SOLTERO,FAMILIAR,30,3900000,300000,0,40,20850000,24,E
HOMBRE,CASADO,PROPIA,71,3441918,1564413,0,140,58000000,158,D
HOMBRE,CASADO,PROPIA,42,2645861,1322336,0,140,86500000,5,A
HOMBRE,SOLTERO,PROPIA,73,4064212,428000,0,60,20000000,469,E
HOMBRE,SOLTERO,FAMILIAR,37,2061387,987602,0,140,48900000,798,EE
HOMBRE,CASADO,PROPIA,47,1,2000002,0,60,172270000,24,B
HOMBRE,CASADO,FAMILIAR,44,5500000,0,0,49,33412500,236,D
HOMBRE,SOLTERO,FAMILIAR,34,1892502,1001345,0,140,40000000,767,E
MUJER,CASADO,FAMILIAR,62,6446495,500000,0,138,140800000,36,A
HOMBRE,SOLTERO,FAMILIAR,28,1923821,760368,0,140,51700000,463,E
MUJER,UNION LIBRE ,PROPIA,37,2088694,1143193,0,140,58700000,433,E
MUJER,SOLTERO,PROPIA,48,3944416,1627363,0,140,150900000,675,E
HOMBRE,SOLTERO,FAMILIAR,44,2377143,1055244,0,120,78700000,767,E
HOMBRE,SOLTERO,PROPIA,36,3411649,1836654,0,140,128000000,97,D
MUJER,VIUDO,FAMILIAR,60,1656947,735673,0,120,50100000,310,E
HOMBRE,CASADO,FAMILIAR,38,2217598,1132616,0,140,75300000,67,C
HOMBRE,SOLTERO,FAMILIAR,37,2186881,1130975,0,140,60000000,97,C
HOMBRE,UNION LIBRE ,FAMILIAR,35,2218604,1324464,0,140,67600000,158,D
MUJER,SOLTERO,FAMILIAR,45,1200000,430104,0,88,14185039,866,E
MUJER,SOLTERO,PROPIA,60,2175200,1000000,0,47,125660315,440,E
